Date,Instrument,First Trade Date,ClosePrice,OpenPrice,Volume,BidPrice,AskPrice,DividendYield,BookValuePerShare,Beta,MarketCap,CommonSharesOutstanding,MonthlyReturn,EconomicSector,EarningsPerShare,RIC,Momentum_3M,Momentum_6M,Momentum_12M,Volatility_3M,Volatility_6M,Volatility_12M,BidAskSpread,TurnoverRatio,BrentOil,USDNOK,EURNOK,US10Y,USCPI,USGDPGrowth,OSEBXReturns,NorgesBank10Y,NorwegianCPI
2017-09-30,YAR.OL,2004-03-25,339.931533,343.552895,0.0,339.836234,339.931533,2.80347631062518,31.51449868,1.42117170195307,97456799960.9994,273217830.0,15.3995470722681,Basic Materials,2.05719,YAR.OL,0.1374362244897959,0.0789473684210526,0.3429969879518071,8.577479512349807,6.7389201867278405,6.491449894714394,0.0002803476310625,0.0,57.540000915527344,7.942811965942383,9.355899810791016,2.33,246.435,3.2,0.058415710899907,1.603,105.7
2017-10-31,YAR.OL,2004-03-25,369.569522,369.283625,538443.0,369.569522,370.141316,2.57864878803507,31.51449868,1.42496088021055,105953874474.0,273217830.0,8.71881132487182,Basic Materials,1.92977,YAR.OL,0.2377912543887645,0.2149122807017542,0.3280821917808219,7.064827185669046,6.818449661686092,6.37779501664017,0.001547189272821,0.0019707461991042,57.540000915527344,8.149189949035645,9.495209693908691,2.38,246.626,4.6,0.0304690195677415,1.677,105.7
2017-11-30,YAR.OL,2004-03-25,352.511001,342.12341,1468595.0,352.511001,352.701599,2.70343336036767,31.51449868,1.44773268264719,101063275317.0,273217830.0,-4.81214616434733,Basic Materials,1.89589,YAR.OL,0.1657737157264418,0.177650429799427,0.1742857142857143,10.29750442415249,7.708000411258714,6.6371277435261815,0.0005406866720734,0.0053751799434173,63.56999969482422,8.25028133392334,9.776700019836426,2.42,247.284,4.6,-0.0125410433906668,1.628,105.9
2017-12-31,YAR.OL,2004-03-25,358.991333,364.04218,0.0,358.896034,359.181931,2.65463233342182,31.51449868,1.44240951826263,102921156560.999,273217830.0,1.83833468527892,Basic Materials,1.85751,YAR.OL,0.0560695262125034,0.2012117346938775,0.1079411764705882,6.765804520950497,7.187029407509032,6.352269644912084,0.0007963897000266,0.0,66.5999984741211,8.205499649047852,9.848299980163574,2.4,247.805,4.6,0.022112614659697,1.589,105.9
2018-01-31,YAR.OL,2004-03-25,353.082795,352.987496,526945.0,353.082795,353.178094,2.69905533063428,31.51449868,1.44200310111477,101227206014.999,273217830.0,-1.64587204534369,Basic Materials,1.99177,YAR.OL,-0.0446106240330067,0.1825726141078836,0.0658803222094361,3.326506773118857,7.377026938089214,6.398741313294227,0.0002699055330634,0.0019286625620297,69.05000305175781,7.718299865722656,9.577409744262695,2.72,248.859,3.3,-0.0042237121859503,1.738,105.4
2018-02-28,YAR.OL,2004-03-25,335.166583,337.263161,606392.0,335.166583,335.261882,1.84816605061132,33.764267874,1.44938420794756,96090710810.9999,273217830.0,-6.43788241621995,Basic Materials,2.83834,YAR.OL,-0.0492024871586915,0.1084147494484715,0.104932453660069,4.155294402876167,8.431185613754593,6.024874478286783,0.0002843332385556,0.0022194451950665,65.77999877929688,7.869999885559082,9.626700401306152,2.87,249.529,3.3,0.0108013583804675,1.986,106.4
2018-03-31,YAR.OL,2004-03-25,315.534989,313.53371,0.0,314.4867,315.534989,1.96315312594382,33.764267874,1.45705614265851,90462423512.9996,273217830.0,-5.85726471356842,Basic Materials,2.74416,YAR.OL,-0.121051234404035,-0.0717689935520045,0.0015124016938898,2.615221740668625,5.8278792360960745,6.283628038148321,0.0033222591362126,0.0,70.2699966430664,7.8403000831604,9.661999702453612,2.74,249.577,3.3,-0.0176269098195294,2.007,106.7
2018-04-30,YAR.OL,2004-03-25,323.06361,320.20464,750203.0,322.777713,323.06361,1.91740412979351,33.764267874,1.38545915310905,92620844369.9994,273217830.0,2.38598610642109,Basic Materials,2.39928,YAR.OL,-0.0850202429149797,-0.1258380608561115,0.0620300751879698,4.93539861110099,3.886147421104485,6.255319067256967,0.0008849557522123,0.0027458054256561,70.2699966430664,7.96835994720459,9.659850120544434,2.95,250.227,2.1,0.0678488230163139,1.951,107.2
2018-05-31,YAR.OL,2004-03-25,321.348228,329.73454,1227761.0,321.348228,322.301218,1.9276393831554,33.764267874,1.39524057968995,92129052276.0,273217830.0,1.36173343417332,Basic Materials,2.35096,YAR.OL,-0.0412283195905601,-0.0884022708840227,0.0735434574976121,4.492850095335981,3.943482138834173,6.252893484492691,0.0029655990510083,0.0044937074567937,77.58999633789062,8.184100151062012,9.54860019683838,2.83,250.792,2.1,0.0180938615296333,1.943,107.2
2018-06-30,YAR.OL,2004-03-25,322.11062,324.874291,0.0,322.015321,322.587115,1.92307692307692,33.764267874,1.38647385467066,92347626539.9994,273217830.0,-1.40023337170794,Basic Materials,2.24922,YAR.OL,0.0208396254907883,-0.1027342713034245,0.0778061224489794,1.9584437746146144,3.6212983288521934,6.177022557980542,0.0017751479289941,0.0,79.44000244140625,8.190469741821289,9.465889930725098,2.85,251.018,2.1,0.0041346800032346,1.852,108.0
